800041723-4;AMCOR RIGID PACKAGING DE COLOM;42906;2920500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43057;13117500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43059;20225700,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43060;25116300,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43061;23265000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43112;3217500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43146;7920000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43165;13295700,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43166;2871000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43167;940500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43168;6138000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43169;4059000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43174;15246000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43175;19057500,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43176;15939000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43198;9607950,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43249;1782000,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43297;20453400,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43298;22849200,00
800041723-4;AMCOR RIGID PACKAGING DE COLOM;43299;2920500,00
890903938-8;BANCOLOMBIA SA                ;43116;604951,00
890903938-8;BANCOLOMBIA SA                ;43117;946032,00
901856164-1;BOOST MARKET S.A.S            ;42921;5039100,00
830043084-4;C I CARBOCOQUE S A            ;41724;4870652,00
830043084-4;C I CARBOCOQUE S A            ;41814;4927082,00
830043084-4;C I CARBOCOQUE S A            ;41834;4968266,00
830043084-4;C I CARBOCOQUE S A            ;41836;4953910,00
830043084-4;C I CARBOCOQUE S A            ;41837;4949604,00
830043084-4;C I CARBOCOQUE S A            ;41838;4962524,00
830043084-4;C I CARBOCOQUE S A            ;41839;4692996,00
830043084-4;C I CARBOCOQUE S A            ;41841;5021379,00
830043084-4;C I CARBOCOQUE S A            ;42029;4694382,00
830043084-4;C I CARBOCOQUE S A            ;42051;5266404,00
830043084-4;C I CARBOCOQUE S A            ;42052;5376888,00
830043084-4;C I CARBOCOQUE S A            ;42053;5421388,00
830043084-4;C I CARBOCOQUE S A            ;42054;5295560,00
830043084-4;C I CARBOCOQUE S A            ;42055;5367681,00
830043084-4;C I CARBOCOQUE S A            ;42056;5330853,00
830043084-4;C I CARBOCOQUE S A            ;42057;4991085,00
830043084-4;C I CARBOCOQUE S A            ;42058;5315508,00
830043084-4;C I CARBOCOQUE S A            ;42410;5372928,00
830043084-4;C I CARBOCOQUE S A            ;42411;5452078,00
830043084-4;C I CARBOCOQUE S A            ;42412;5351346,00
830043084-4;C I CARBOCOQUE S A            ;42413;5292490,00
830043084-4;C I CARBOCOQUE S A            ;42414;5372284,00
830043084-4;C I CARBOCOQUE S A            ;42415;5298628,00
830043084-4;C I CARBOCOQUE S A            ;42416;5238783,00
830043084-4;C I CARBOCOQUE S A            ;42456;5651910,00
830043084-4;C I CARBOCOQUE S A            ;42457;5777690,00
830043084-4;C I CARBOCOQUE S A            ;42458;5713983,00
830043084-4;C I CARBOCOQUE S A            ;42459;5632308,00
830043084-4;C I CARBOCOQUE S A            ;42746;5940742,00
830043084-4;C I CARBOCOQUE S A            ;42747;4999995,00
830043084-4;C I CARBOCOQUE S A            ;42748;5860998,00
830043084-4;C I CARBOCOQUE S A            ;42749;5710716,00
830043084-4;C I CARBOCOQUE S A            ;42750;5635575,00
830043084-4;C I CARBOCOQUE S A            ;42752;5682946,00
830043084-4;C I CARBOCOQUE S A            ;42753;6055088,00
830043084-4;C I CARBOCOQUE S A            ;42754;5923418,00
830043084-4;C I CARBOCOQUE S A            ;42755;5996430,00
830043084-4;C I CARBOCOQUE S A            ;42824;5590926,00
830043084-4;C I CARBOCOQUE S A            ;42825;6413913,00
830043084-4;C I CARBOCOQUE S A            ;42826;6269224,00
830043084-4;C I CARBOCOQUE S A            ;42827;6391935,00
830043084-4;C I CARBOCOQUE S A            ;42828;6347979,00
830043084-4;C I CARBOCOQUE S A            ;42829;6329664,00
830043084-4;C I CARBOCOQUE S A            ;42830;6468858,00
830043084-4;C I CARBOCOQUE S A            ;42831;6430396,00
830043084-4;C I CARBOCOQUE S A            ;42863;6039198,00
830043084-4;C I CARBOCOQUE S A            ;42949;6221605,00
830043084-4;C I CARBOCOQUE S A            ;42950;6503656,00
830043084-4;C I CARBOCOQUE S A            ;42951;6344316,00
